Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,Firefox 133.0,,,27-11-2024 17:09:23,27-11-2024 18:06:37,"57m - 13,455s",FAILED
,,,,,,,
Test Cases/2.Positivos/2.1Paquete/Origen-Provincia/Validar resumen ---,Firefox 133.0,,,27-11-2024 17:09:23,27-11-2024 17:11:29,"2m - 6,131s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Principal-home""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 17:09:24,27-11-2024 17:09:39,"14,730s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.1Principal/Selec_paquete""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 17:09:39,27-11-2024 17:09:43,"4,761s",PASSED
"callTestCase(findTestCase(""1.Inicio/1.2Tipo_Doc/5.RUC20""), [:], STOP_ON_FAILURE)",Firefox 133.0,,,27-11-2024 17:09:43,27-11-2024 17:09:50,"6,899s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/button_Seleccionar artculo""))",Firefox 133.0,,,27-11-2024 17:09:50,27-11-2024 17:10:00,"10,239s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/a_CAJA""))",Firefox 133.0,,,27-11-2024 17:10:00,27-11-2024 17:10:04,"3,173s",PASSED
"setText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_articulo""), ""FGDg"")",Firefox 133.0,,,27-11-2024 17:10:04,27-11-2024 17:10:08,"3,869s",PASSED
"setText(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/input_UTILES DE OFICINA_txt_paquete_valor""), ""50"")",Firefox 133.0,,,27-11-2024 17:10:08,27-11-2024 17:10:12,"4,269s",PASSED
"click(findTestObject(""Object Repository/Principal/Page_Olva Courier  Datos Personales/div_Hasta 2Kg""))",Firefox 133.0,,,27-11-2024 17:10:12,27-11-2024 17:10:14,"2,307s",PASSED
"scrollToElement(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""), 0)",Firefox 133.0,,,27-11-2024 17:10:14,27-11-2024 17:10:17,"2,827s",PASSED
"click(findTestObject(""Object Repository/Destinos/Page_Olva Courier  Datos Personales/button_LIMA (1)""))",Firefox 133.0,,,27-11-2024 17:10:17,27-11-2024 17:10:19,"2,257s",PASSED
